Study_Hours,Attendance,Assignment_Score,Previous_Marks,Final_Marks,Status
4.5,43.0,40.9,73.8,57.3,1
11.4,67.9,39.8,83.7,82.5,1
8.8,91.1,92.5,40.0,83.3,1
7.2,81.3,40.0,70.0,69.2,1
1.9,86.5,41.8,65.7,51.7,1
1.9,76.1,80.8,86.6,69.1,1
0.7,78.5,56.0,92.5,60.6,1
10.4,89.4,82.1,21.0,70.5,1
7.2,47.5,25.2,73.9,57.9,1
8.5,64.3,59.0,24.1,59.9,1
0.2,45.5,22.7,63.9,34.4,0
11.6,99.1,25.0,43.0,74.7,1
10.0,96.1,92.5,44.5,88.3,1
2.5,32.8,31.1,48.2,37.7,0
2.2,79.4,62.6,69.7,55.5,1
2.2,94.8,52.9,46.7,57.5,1
3.7,42.6,47.8,78.6,52.1,1
6.3,69.8,92.0,52.4,72.0,1
5.2,94.1,21.7,25.5,46.3,1
3.5,32.4,73.1,82.7,58.4,1
7.3,78.8,97.1,42.9,79.6,1
1.7,50.8,64.8,54.6,48.9,1
3.5,94.7,94.9,74.8,83.7,1
4.4,98.0,24.2,46.6,56.7,1
5.5,96.1,53.5,24.5,56.1,1
9.4,63.2,40.8,49.9,64.3,1
2.4,90.3,78.5,95.6,78.3,1
6.2,89.1,98.5,71.3,88.1,1
7.1,52.3,40.5,73.7,60.3,1
0.6,88.0,72.3,70.6,60.7,1
7.3,32.6,35.8,35.9,49.6,1
2.0,71.7,65.2,53.5,57.2,1
0.8,46.1,57.1,80.1,48.8,1
11.4,38.4,97.8,28.1,78.4,1
11.6,35.4,68.7,42.2,76.2,1
9.7,78.7,48.0,42.1,67.0,1
3.7,53.8,29.1,54.6,41.2,1
1.2,80.7,32.1,98.4,56.4,1
8.2,34.6,38.0,25.4,49.6,1
5.3,52.1,40.1,61.5,49.5,1
1.5,67.8,88.0,34.3,49.2,1
5.9,85.4,64.9,97.7,84.9,1
0.4,52.3,61.9,29.1,36.3,0
10.9,73.8,29.2,52.3,70.5,1
3.1,92.0,88.8,79.0,76.9,1
8.0,73.1,77.8,76.4,83.2,1
3.7,46.3,25.4,53.8,40.2,1
6.2,31.7,76.6,47.7,56.2,1
6.6,90.9,63.5,51.8,69.7,1
2.2,31.5,26.5,41.1,33.8,0
11.6,91.2,56.7,36.4,82.3,1
9.3,67.0,58.8,58.6,73.8,1
11.3,95.7,33.3,41.5,78.6,1
10.7,85.9,95.7,43.0,85.2,1
7.2,99.9,88.0,72.5,91.7,1
